id_left,text_left
123839,yanni
188629,k pop
13898,venice film festival
316959,downtown brooklyn
515031,pennsylvania house of representatives
123783,northern premier league
4332,first national pictures
9591,poland
114982,cyperaceae
563603,trinidad and tobago
104206,normandy landings
1580851,perry index
23678,arm architecture
37480,mi5
109454,patriarch of antioch
544250,nashik district
12519,semiotics
115015,santa cruz de tenerife
84287,gastropoda
24998,zaragoza
11925,south carolina
643,augustine of hippo
113075,canton of geneva
1250387,leo tolstoy
72012,riemannian manifold
167865,tuzla
1425120,subaru
24883,tomsk
27200,united states department of agriculture
136856,north borneo
6031,isaac asimov
1313191,hilbert space
187115,chechens
84110,arunachal pradesh
208234,central otago
6431,ira gershwin
10799,rock and roll
1417144,fiba
32512,east coast of the united states
677637,wikipedia
97937,pernambuco
113765,west coast eagles
12900,twin peaks
1294909,dutch language
73745,liberal party of canada
11692,spratly islands
22173,kampala
76662,national film board of canada
164301,turkish war of independence
23344,chania
9367,oakland raiders
592217,krishnagiri district
98546,vr group
98175,trade name
15189,anglo saxons
1256,bermuda
1815937,paradox development studio
1249076,usenet
80274,bbc radio
38489,wallace stevens
11311,spain
4754,franchising
257711,united artists records
141668,royal corps of signals
100895,palawan
32945,seine et marne
112321,west country
133725,bailiwick of guernsey
424464,pleuronectidae
523456,income tax in the united states
1327515,gp3 series
12101,septimius severus
9739,pharaoh
189869,metropolitan borough of doncaster
143444,history of the jews in poland
78940,erasure
12527,suez canal
327199,naval air station lemoore
7707,lower saxony
97455,robert stack
1262433,boeing
488875,wexford gaa
74026,miss universe
358108,sydney central business district
95179,keweenaw peninsula
7862,music
151797,nba g league
92980,makati
100876,genre art
238228,aintree racecourse
107755,colchester
32539,christian rock
12953,the clash
24843,friedrich schiller
119528,comedy drama
30765,tiberias
134772,fc basel
27711,new york knicks
361260,perm krai
17874,dordogne
3524,dutch west india company
75902,titian
809894,victorian burlesque
126362,tvb
288208,muridae
406254,tvxq
240663,kenneth cope
34848,london borough of islington
195113,top cow productions
264822,bradford bulls
8387,mike oldfield
186363,shooter game
165761,hull kingston rovers
76875,national science foundation
605155,grau
17836,dannii minogue
83566,christopher nolan
132697,moscow oblast
1563,british national party
23924,balochi language
1433,benjamin franklin
